GeneName	logFC	logCPM	F	PValue	FDR
Gm42418	2.95817771143215	10.7876512081414	24.3563350520301	2.6030130677163e-06	0.0316537224840602
Malat1	0.534224826026006	15.4640659864787	23.1131077073354	4.46329984264808e-06	0.0316537224840602
Gzmc	3.12286848823472	10.3948676665734	20.4320577782864	1.45639953441776e-05	0.0688585699872719
Isg15	2.58904624341248	10.315887748553	17.5116297286957	5.45976597029907e-05	0.193603301306805
Tnks2	2.58252690940182	9.80843456379518	21.3201252675278	8.83884846733969e-05	0.242343858666292
Phf20l1	2.51105936300292	9.90287672756951	20.5110240462167	0.000108017245657461	0.242343858666292
4930503L19Rik	2.53351421645359	9.87153353049476	20.4153054352082	0.000119600043053021	0.242343858666292
Klf3	2.19338634211649	10.0104105086882	14.6206802480006	0.000209782985396493	0.371827295988277
Csf2	-2.8038805254843	9.869879995174	14.471477807554	0.000235931025373272	0.371827295988277
Chmp4b	-2.61951286565728	9.88132570704629	15.752545000123	0.000413724892877596	0.586827388057582
Nt5e	1.31247849394221	9.71011975797557	14.5201166884388	0.000653566186036438	0.706462382715545
Usp34	2.18507128943966	9.84933924772708	15.9757645468019	0.00084174504025793	0.706462382715545
Tceb3	2.21876376964556	9.73883416703918	17.033444416943	0.000891935962338637	0.706462382715545
Stag2	2.21039336237341	9.8309231231365	15.4882129008333	0.000914208329318589	0.706462382715545
Rps27rt	-1.47604957325533	11.3492364448009	11.5047158703053	0.000940088233113462	0.706462382715545
Eif4e3	2.22128751157166	9.75417124028595	16.8225611747567	0.000979055358823491	0.706462382715545
Ppil1	-2.47776887996474	9.82752081715533	13.3946785575519	0.00100225659576092	0.706462382715545
Klf2	2.16724176606173	9.74695474534206	15.5852415867523	0.00100748845788216	0.706462382715545
Cnot4	2.17502658840165	9.82890766457117	14.3250049346074	0.00101839694410285	0.706462382715545
Ncl	1.78601806953941	10.2879260177255	11.2861380378549	0.00104665955265294	0.706462382715545
Fam126b	1.7695494094086	9.69893092872421	18.4063406039341	0.00110731672606294	0.706462382715545
Hint3	1.37551237477195	9.67473747848905	19.1293106642	0.00113454380988069	0.706462382715545
Nipbl	2.19094054733498	9.8350334664421	15.5499574582776	0.00114556082927648	0.706462382715545
Il22	-2.40963737872297	9.84628232685938	11.020805730358	0.00126241389838123	0.746086613943306
Tgfb1	-2.40048026849087	9.80572250145568	14.5498163352158	0.00136311684423075	0.750451898983324
Rwdd1	-2.36290717199966	9.80667218567586	14.337312059734	0.00141295105203731	0.750451898983324
Rp9	-2.26116574970545	9.91413348706318	13.4445015315584	0.00142852518842003	0.750451898983324
Kiz	2.02817977233548	9.71773783648608	17.4936397841468	0.0014978838825359	0.758785178210327
Tnfsf8	-2.3938634214746	9.80553612588927	11.8674301866221	0.00175063381304277	0.856241034627542
Pnisr	1.77199172541305	10.0091653923396	10.4932339419258	0.00183482762533548	0.867506501258616
Rgs1	1.12796996161029	12.5897250972434	9.97309358492489	0.00200860858537448	0.867965801178275
Ptprc	1.65980159770853	10.5366483471957	9.88640584504063	0.00209783289171306	0.867965801178275
Hist1h1c	1.88082090204332	9.99121444818167	9.8335026652691	0.00215427923222205	0.867965801178275
Snx20	2.08766144609576	9.73689699677784	14.8150668274233	0.00216490436474311	0.867965801178275
Samd3	2.1278880197388	9.79551020249233	14.3480363674309	0.00216605321194821	0.867965801178275
Osbpl3	2.05319837316933	9.73363695864535	15.2269906104333	0.00223583074232202	0.867965801178275
Cd69	1.82847106317608	10.2593898166214	9.64808401595293	0.00236476892144278	0.867965801178275
Nom1	2.0533583380828	9.73474495837636	15.0845939951744	0.00236495960000175	0.867965801178275
Chtop	2.09067848077998	9.79966488312893	13.5232168926674	0.00238653879342588	0.867965801178275
Gem	-2.07451384163835	9.91983638669929	9.48760258776439	0.00256402155664884	0.907049491745877
Purb	-2.18563009547906	9.78491150737559	12.6447242899063	0.00264634388731492	0.907049491745877
Eea1	2.00848483816216	9.73344376257024	13.7286910627061	0.00274757490575376	0.907049491745877
Tmem30a	2.02640115861138	9.81457701847991	12.7082032588161	0.0028628001255711	0.907049491745877
Prpf38b	1.90848970296221	9.86818180076608	11.6798061676953	0.00286408146047533	0.907049491745877
Rnf20	1.97251964914033	9.71587364772165	15.071742985475	0.00287769508802626	0.907049491745877
Nudt3	1.74857801251136	9.69723266150178	16.0677282311366	0.003124850644567	0.923866935819137
Wdr89	-1.4685769672893	11.1101257204113	9.01903075509609	0.00325088997431395	0.923866935819137
Eif2d	1.97883864776204	9.71807371546245	14.1922290066546	0.00326060077865813	0.923866935819137
Txlng	1.88994412195663	9.83779303812292	10.5813341090802	0.00334571649375322	0.923866935819137
Rps28	-0.985319585803792	11.9478743465965	8.9328095631503	0.00339666957512185	0.923866935819137
Anxa7	-2.17787579811537	9.78855989627212	12.709960970786	0.00353232934235231	0.923866935819137
Lhfpl4	-2.54174426370457	10.066226155047	8.88970189108414	0.00354272753587603	0.923866935819137
Slfn8	1.93320289404671	9.71455191393492	14.3359962280047	0.00376928912632907	0.923866935819137
Fam216a	1.93092290539273	9.71585832097697	13.6076757573713	0.00376928913077309	0.923866935819137
Ckb	-2.16473094465933	9.78928995596414	12.0236531991251	0.00382749094897639	0.923866935819137
Clip1	1.94360523303332	9.8122775028924	12.4511297830263	0.00393988001660106	0.923866935819137
Mospd1	1.93112431018673	9.71688821707274	13.8907414776121	0.0040563237067805	0.923866935819137
4932438A13Rik	1.81680866302196	9.86723189752882	9.72036634400714	0.00412022731171112	0.923866935819137
Tigd2	1.99006883050893	9.77815485123854	13.3449726004121	0.00432768794285672	0.923866935819137
Smarca5	1.90250187525245	9.80987832445445	11.633756026172	0.00439770076300618	0.923866935819137
Cdyl2	1.87644300477886	9.73329728179638	12.6621068720324	0.0044077498705728	0.923866935819137
Nap1l3	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
Xpc	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
Uba2	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
R3hdm2	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
Hexa	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
Helz	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
Chka	0.879964710946683	9.6696068198857	14.1628165249284	0.00447446394667324	0.923866935819137
Stim2	1.96461284879632	9.79443312764554	11.7788843007333	0.00450843283816344	0.923866935819137
Rapgef6	1.69850348272628	9.94013722950115	9.69859173710707	0.00456937596911653	0.923866935819137
Ramp3	-1.98571236631172	10.7012609852628	8.3297134678148	0.00462454543451486	0.923866935819137
Sms	-2.08784481853753	9.7892228473355	12.1022508697896	0.00483712074691993	0.952912787143226
Tiparp	1.85461155009803	9.83685787431777	10.9192483613939	0.0049994813745861	0.961683422183276
Cox7b	1.55892572512638	10.0877058403887	8.17144984550455	0.00501724289633125	0.961683422183276
Nrip1	1.50029198837433	10.337744632377	8.11934600814365	0.00515394480536793	0.974714041591182
Atp8a2	1.85096868102604	9.71430786403477	12.9975223537024	0.00562163051205277	1
Mllt6	1.85207072169936	9.71465948133958	12.9764751425413	0.00563724121600697	1
Ccndbp1	-2.07394093343922	9.76795385293666	11.6762504664476	0.00567225184258603	1
2310033P09Rik	1.85683454297048	9.71521647933627	12.9458473337193	0.00569478696177829	1
Pura	1.84489966989967	9.71360789853623	12.9815030304245	0.00570530181176597	1
Gpx1	-1.99161566123061	9.88153757266026	9.05259823671108	0.005846267145904	1
Rock1	1.6778169145778	9.89747244461151	7.87228138473412	0.0058566080245273	1
Mta2	1.83340695001775	9.71393424361105	12.3972461139377	0.00592446891482371	1
Phc3	1.37912030196584	9.6752827809711	15.3037495989838	0.00595169265747332	1
Gm26870	1.8254081356964	9.71364294060391	11.8455749424418	0.00607266315463482	1
